rsi_min,rsi_max,entry_cutoff,risk_reward_ratio,volume_multiplier,trades,wins,losses,target_exits,stop_loss_exits,day_end_exits,win_rate,net_pnl,return_percent,profit_factor,max_drawdown,max_drawdown_percent,average_net_pnl,ending_capital
50,68,11:00,1.5,1.0,3,2,1,0,0,3,66.67,133.9,0.1339,2.8667,71.73,0.0717,44.63,100133.9
50,68,11:00,1.5,1.1,3,2,1,0,0,3,66.67,133.9,0.1339,2.8667,71.73,0.0717,44.63,100133.9
50,68,11:00,1.5,1.2,3,2,1,0,0,3,66.67,133.9,0.1339,2.8667,71.73,0.0717,44.63,100133.9
50,68,11:00,2.0,1.0,3,2,1,0,0,3,66.67,133.9,0.1339,2.8667,71.73,0.0717,44.63,100133.9
50,68,11:00,2.0,1.1,3,2,1,0,0,3,66.67,133.9,0.1339,2.8667,71.73,0.0717,44.63,100133.9
50,68,11:00,2.0,1.2,3,2,1,0,0,3,66.67,133.9,0.1339,2.8667,71.73,0.0717,44.63,100133.9
50,68,11:00,2.5,1.0,3,2,1,0,0,3,66.67,133.9,0.1339,2.8667,71.73,0.0717,44.63,100133.9
50,68,11:00,2.5,1.1,3,2,1,0,0,3,66.67,133.9,0.1339,2.8667,71.73,0.0717,44.63,100133.9
50,68,11:00,2.5,1.2,3,2,1,0,0,3,66.67,133.9,0.1339,2.8667,71.73,0.0717,44.63,100133.9
50,68,12:00,1.5,1.0,13,5,8,0,1,12,38.46,-1060.43,-1.0604,0.4271,1541.7,1.5417,-81.57,98939.57
50,68,12:00,1.5,1.1,12,5,7,0,1,11,41.67,-860.84,-0.8608,0.4787,1342.11,1.3421,-71.74,99139.16
50,68,12:00,1.5,1.2,10,3,7,0,1,9,30.0,-1280.88,-1.2809,0.2187,1433.73,1.4337,-128.09,98719.12
50,68,12:00,2.0,1.0,13,5,8,0,1,12,38.46,-1060.43,-1.0604,0.4271,1541.7,1.5417,-81.57,98939.57
50,68,12:00,2.0,1.1,12,5,7,0,1,11,41.67,-860.84,-0.8608,0.4787,1342.11,1.3421,-71.74,99139.16
50,68,12:00,2.0,1.2,10,3,7,0,1,9,30.0,-1280.88,-1.2809,0.2187,1433.73,1.4337,-128.09,98719.12
50,68,12:00,2.5,1.0,13,5,8,0,1,12,38.46,-1060.43,-1.0604,0.4271,1541.7,1.5417,-81.57,98939.57
50,68,12:00,2.5,1.1,12,5,7,0,1,11,41.67,-860.84,-0.8608,0.4787,1342.11,1.3421,-71.74,99139.16
50,68,12:00,2.5,1.2,10,3,7,0,1,9,30.0,-1280.88,-1.2809,0.2187,1433.73,1.4337,-128.09,98719.12
50,68,13:00,1.5,1.0,18,6,12,0,2,16,33.33,-1941.68,-1.9417,0.3657,2501.91,2.5019,-107.87,98058.32
50,68,13:00,1.5,1.1,18,6,12,0,2,16,33.33,-1972.64,-1.9726,0.3621,2532.87,2.5329,-109.59,98027.36
50,68,13:00,1.5,1.2,18,6,12,0,2,16,33.33,-1982.99,-1.983,0.358,2540.81,2.5408,-110.17,98017.01
50,68,13:00,2.0,1.0,18,6,12,0,2,16,33.33,-1941.68,-1.9417,0.3657,2501.91,2.5019,-107.87,98058.32
50,68,13:00,2.0,1.1,18,6,12,0,2,16,33.33,-1972.64,-1.9726,0.3621,2532.87,2.5329,-109.59,98027.36
