lookback_period,minimum_rsi,minimum_volume_ratio,stop_atr_multiplier,target_atr_multiplier,symbols_tested,profitable_symbols,losing_symbols,breakeven_symbols,profitable_symbol_percent,total_trades,combined_win_rate,combined_net_pnl,average_pnl_per_symbol,portfolio_profit_factor,eligible_for_ranking
20,60.0,1.5,1.2,2.5,10,1,9,0,10.0,153,20.261045751633986,-6353.220000000001,-635.3220000000001,0.009849729288294718,True
20,60.0,1.5,1.0,2.5,10,0,10,0,0.0,153,16.99267973856209,-6432.340000000001,-643.2340000000002,0.0,True
20,50.0,1.5,1.0,2.5,10,0,10,0,0.0,156,17.30775641025641,-6445.550000000001,-644.5550000000001,0.0,True
20,50.0,1.5,1.2,2.5,10,1,9,0,10.0,156,20.51301282051282,-6471.570000000001,-647.157,0.009671342679237372,True
20,60.0,1.5,1.0,3.0,10,0,10,0,0.0,153,15.033725490196078,-6482.26,-648.226,0.0,True
20,60.0,1.5,1.2,2.0,10,0,10,0,0.0,153,22.2218954248366,-6516.340000000001,-651.6340000000001,0.0,True
20,50.0,1.5,1.2,2.0,10,0,10,0,0.0,156,22.436153846153843,-6548.750000000001,-654.8750000000001,0.0,True
20,50.0,1.5,1.0,3.0,10,0,10,0,0.0,156,15.38647435897436,-6587.14,-658.714,0.0,True
20,55.0,1.5,1.2,2.5,10,1,9,0,10.0,156,19.871987179487178,-6591.630000000001,-659.1630000000001,0.009496861677909127,True
20,55.0,1.5,1.0,2.5,10,0,10,0,0.0,156,16.66673076923077,-6645.790000000001,-664.5790000000001,0.0,True
20,60.0,1.5,1.0,2.0,10,0,10,0,0.0,153,18.299346405228757,-6671.84,-667.184,0.0,True
20,60.0,1.5,1.2,3.0,10,0,10,0,0.0,153,16.993267973856206,-6682.859999999999,-668.2859999999998,0.0,True
20,55.0,1.5,1.0,3.0,10,0,10,0,0.0,156,14.745448717948717,-6695.710000000001,-669.5710000000001,0.0,True
20,50.0,1.5,1.0,2.0,10,0,10,0,0.0,156,18.58929487179487,-6713.59,-671.359,0.0,True
20,55.0,1.5,1.2,2.0,10,0,10,0,0.0,156,21.795128205128204,-6754.770000000001,-675.4770000000001,0.0,True
20,50.0,1.5,1.2,3.0,10,0,10,0,0.0,156,17.308076923076925,-6797.08,-679.708,0.0,True
