lookback_period,minimum_rsi,minimum_volume_ratio,stop_atr_multiplier,target_atr_multiplier,symbol,trades,win_rate,net_pnl,profit_factor
8,50.0,1.0,1.0,2.0,RELIANCE,77,31.17,-2261.54,0.3029
8,50.0,1.0,1.0,2.0,TCS,49,26.53,-1681.51,0.2016
8,50.0,1.0,1.0,2.0,INFY,47,25.53,-1738.61,0.2727
8,50.0,1.0,1.0,2.0,HDFCBANK,62,22.58,-2366.93,0.1694
8,50.0,1.0,1.0,2.0,ICICIBANK,48,16.67,-2159.48,0.1276
8,50.0,1.0,1.0,2.0,SBIN,75,26.67,-2876.24,0.2002
8,50.0,1.0,1.0,2.0,LT,61,34.43,-1465.19,0.399
8,50.0,1.0,1.0,2.0,AXISBANK,57,38.6,-1223.33,0.5033
8,50.0,1.0,1.0,2.0,ITC,80,18.75,-3341.36,0.1446
8,50.0,1.0,1.0,2.0,BHARTIARTL,53,18.87,-2467.17,0.1328
8,50.0,1.0,1.0,2.5,RELIANCE,77,29.87,-1951.54,0.4127
8,50.0,1.0,1.0,2.5,TCS,49,24.49,-1618.44,0.2552
8,50.0,1.0,1.0,2.5,INFY,47,25.53,-1492.03,0.3775
8,50.0,1.0,1.0,2.5,HDFCBANK,62,20.97,-2265.06,0.2224
8,50.0,1.0,1.0,2.5,ICICIBANK,48,14.58,-2161.4,0.15
8,50.0,1.0,1.0,2.5,SBIN,75,25.33,-2647.79,0.2759
8,50.0,1.0,1.0,2.5,LT,61,32.79,-1201.97,0.5202
8,50.0,1.0,1.0,2.5,AXISBANK,57,36.84,-978.67,0.6141
8,50.0,1.0,1.0,2.5,ITC,80,16.25,-3293.36,0.1819
8,50.0,1.0,1.0,2.5,BHARTIARTL,53,16.98,-2409.68,0.1707
8,50.0,1.0,1.0,3.0,RELIANCE,77,25.97,-1905.31,0.4558
8,50.0,1.0,1.0,3.0,TCS,49,22.45,-1618.85,0.2785
8,50.0,1.0,1.0,3.0,INFY,47,19.15,-1747.09,0.317
8,50.0,1.0,1.0,3.0,HDFCBANK,62,17.74,-2280.71,0.2372
8,50.0,1.0,1.0,3.0,ICICIBANK,48,14.58,-2125.29,0.1656
8,50.0,1.0,1.0,3.0,SBIN,75,20.0,-2965.61,0.243
8,50.0,1.0,1.0,3.0,LT,61,29.51,-1231.46,0.5323
8,50.0,1.0,1.0,3.0,AXISBANK,57,31.58,-991.08,0.632
8,50.0,1.0,1.0,3.0,ITC,80,13.75,-3396.26,0.1778
8,50.0,1.0,1.0,3.0,BHARTIARTL,53,15.09,-2381.76,0.1915
8,50.0,1.0,1.2,2.0,RELIANCE,77,33.77,-2003.72,0.4198
8,50.0,1.0,1.2,2.0,TCS,49,24.49,-1880.63,0.2166
8,50.0,1.0,1.2,2.0,INFY,47,25.53,-1805.8,0.3211
8,50.0,1.0,1.2,2.0,HDFCBANK,62,27.42,-2146.66,0.2711
8,50.0,1.0,1.2,2.0,ICICIBANK,48,16.67,-2376.55,0.1363
8,50.0,1.0,1.2,2.0,SBIN,75,29.33,-2619.54,0.3104
8,50.0,1.0,1.2,2.0,LT,61,37.7,-1257.03,0.5155
8,50.0,1.0,1.2,2.0,AXISBANK,57,40.35,-1089.58,0.5911
8,50.0,1.0,1.2,2.0,ITC,80,21.25,-3359.31,0.1953
8,50.0,1.0,1.2,2.0,BHARTIARTL,53,24.53,-2199.52,0.2354
8,50.0,1.0,1.2,2.5,RELIANCE,77,29.87,-1892.34,0.4822
8,50.0,1.0,1.2,2.5,TCS,49,22.45,-1855.24,0.2519
8,50.0,1.0,1.2,2.5,INFY,47,19.15,-1998.48,0.2887
8,50.0,1.0,1.2,2.5,HDFCBANK,62,22.58,-2154.27,0.3022
8,50.0,1.0,1.2,2.5,ICICIBANK,48,16.67,-2301.5,0.1636
8,50.0,1.0,1.2,2.5,SBIN,75,22.67,-2875.84,0.2904
8,50.0,1.0,1.2,2.5,LT,61,32.79,-1331.85,0.5263
8,50.0,1.0,1.2,2.5,AXISBANK,57,33.33,-1172.68,0.5975
8,50.0,1.0,1.2,2.5,ITC,80,18.75,-3368.76,0.2149
8,50.0,1.0,1.2,2.5,BHARTIARTL,53,20.75,-2167.52,0.2605
8,50.0,1.0,1.2,3.0,RELIANCE,77,27.27,-1649.26,0.5577
8,50.0,1.0,1.2,3.0,TCS,49,22.45,-1718.24,0.3072
8,50.0,1.0,1.2,3.0,INFY,47,19.15,-1782.66,0.3655
8,50.0,1.0,1.2,3.0,HDFCBANK,62,22.58,-1906.23,0.3852
8,50.0,1.0,1.2,3.0,ICICIBANK,48,14.58,-2381.83,0.1584
8,50.0,1.0,1.2,3.0,SBIN,75,17.33,-3176.8,0.2542
8,50.0,1.0,1.2,3.0,LT,61,29.51,-1277.22,0.5618
8,50.0,1.0,1.2,3.0,AXISBANK,57,28.07,-1388.02,0.5446
8,50.0,1.0,1.2,3.0,ITC,80,17.5,-3456.11,0.2062
8,50.0,1.0,1.2,3.0,BHARTIARTL,53,20.75,-2013.3,0.3148
8,50.0,1.5,1.0,2.0,RELIANCE,42,30.95,-1180.24,0.344
8,50.0,1.5,1.0,2.0,TCS,34,32.35,-988.83,0.2584
8,50.0,1.5,1.0,2.0,INFY,24,33.33,-703.42,0.3537
8,50.0,1.5,1.0,2.0,HDFCBANK,35,22.86,-1296.29,0.1894
8,50.0,1.5,1.0,2.0,ICICIBANK,30,13.33,-1391.98,0.0862
8,50.0,1.5,1.0,2.0,SBIN,53,22.64,-2382.86,0.1256
8,50.0,1.5,1.0,2.0,LT,36,27.78,-1127.8,0.3033
8,50.0,1.5,1.0,2.0,AXISBANK,30,46.67,-277.09,0.7508
8,50.0,1.5,1.0,2.0,ITC,62,11.29,-3003.47,0.089
8,50.0,1.5,1.0,2.0,BHARTIARTL,27,18.52,-1149.86,0.1574
8,50.0,1.5,1.0,2.5,RELIANCE,42,28.57,-1004.89,0.4572
8,50.0,1.5,1.0,2.5,TCS,34,29.41,-959.65,0.3147
8,50.0,1.5,1.0,2.5,INFY,24,29.17,-706.22,0.393
8,50.0,1.5,1.0,2.5,HDFCBANK,35,20.0,-1284.09,0.2275
8,50.0,1.5,1.0,2.5,ICICIBANK,30,13.33,-1329.63,0.1271
8,50.0,1.5,1.0,2.5,SBIN,53,22.64,-2221.3,0.1867
8,50.0,1.5,1.0,2.5,LT,36,22.22,-1183.72,0.3228
8,50.0,1.5,1.0,2.5,AXISBANK,30,43.33,-189.62,0.8394
8,50.0,1.5,1.0,2.5,ITC,62,11.29,-2879.93,0.1274
8,50.0,1.5,1.0,2.5,BHARTIARTL,27,14.81,-1169.64,0.1793
8,50.0,1.5,1.0,3.0,RELIANCE,42,28.57,-768.11,0.5862
8,50.0,1.5,1.0,3.0,TCS,34,29.41,-821.25,0.4135
8,50.0,1.5,1.0,3.0,INFY,24,20.83,-861.56,0.3079
8,50.0,1.5,1.0,3.0,HDFCBANK,35,17.14,-1327.32,0.2336
8,50.0,1.5,1.0,3.0,ICICIBANK,30,13.33,-1267.27,0.1681
8,50.0,1.5,1.0,3.0,SBIN,53,20.75,-2147.46,0.2289
8,50.0,1.5,1.0,3.0,LT,36,22.22,-1146.07,0.3443
8,50.0,1.5,1.0,3.0,AXISBANK,30,40.0,-70.68,0.9415
8,50.0,1.5,1.0,3.0,ITC,62,6.45,-3087.26,0.0955
8,50.0,1.5,1.0,3.0,BHARTIARTL,27,14.81,-1134.01,0.2042
8,50.0,1.5,1.2,2.0,RELIANCE,42,30.95,-1126.42,0.429
8,50.0,1.5,1.2,2.0,TCS,34,29.41,-1134.47,0.2669
8,50.0,1.5,1.2,2.0,INFY,24,33.33,-700.08,0.4215
8,50.0,1.5,1.2,2.0,HDFCBANK,35,25.71,-1262.77,0.258
8,50.0,1.5,1.2,2.0,ICICIBANK,30,16.67,-1417.62,0.1234
8,50.0,1.5,1.2,2.0,SBIN,53,28.3,-2129.49,0.2387
8,50.0,1.5,1.2,2.0,LT,36,27.78,-1247.91,0.3188
8,50.0,1.5,1.2,2.0,AXISBANK,30,46.67,-234.81,0.8103
8,50.0,1.5,1.2,2.0,ITC,62,16.13,-2968.12,0.1387
8,50.0,1.5,1.2,2.0,BHARTIARTL,27,22.22,-1072.47,0.2483
8,50.0,1.5,1.2,2.5,RELIANCE,42,30.95,-822.48,0.5842
8,50.0,1.5,1.2,2.5,TCS,34,29.41,-968.39,0.3742
8,50.0,1.5,1.2,2.5,INFY,24,20.83,-1001.56,0.2767
8,50.0,1.5,1.2,2.5,HDFCBANK,35,22.86,-1233.88,0.3038
8,50.0,1.5,1.2,2.5,ICICIBANK,30,16.67,-1330.5,0.1773
8,50.0,1.5,1.2,2.5,SBIN,53,26.42,-1951.28,0.3166
8,50.0,1.5,1.2,2.5,LT,36,27.78,-1152.38,0.371
8,50.0,1.5,1.2,2.5,AXISBANK,30,40.0,-204.38,0.8476
8,50.0,1.5,1.2,2.5,ITC,62,11.29,-3116.91,0.1266
8,50.0,1.5,1.2,2.5,BHARTIARTL,27,22.22,-978.48,0.3142
8,50.0,1.5,1.2,3.0,RELIANCE,42,30.95,-518.7,0.7385
8,50.0,1.5,1.2,3.0,TCS,34,29.41,-846.17,0.4532
8,50.0,1.5,1.2,3.0,INFY,24,20.83,-894.91,0.3538
8,50.0,1.5,1.2,3.0,HDFCBANK,35,20.0,-1245.93,0.3234
8,50.0,1.5,1.2,3.0,ICICIBANK,30,13.33,-1379.01,0.1796
8,50.0,1.5,1.2,3.0,SBIN,53,20.75,-2215.11,0.2637
8,50.0,1.5,1.2,3.0,LT,36,22.22,-1313.95,0.321
8,50.0,1.5,1.2,3.0,AXISBANK,30,33.33,-304.75,0.781
8,50.0,1.5,1.2,3.0,ITC,62,9.68,-3198.25,0.1209
8,50.0,1.5,1.2,3.0,BHARTIARTL,27,22.22,-867.89,0.3917
8,55.0,1.0,1.0,2.0,RELIANCE,77,31.17,-2261.54,0.3029
8,55.0,1.0,1.0,2.0,TCS,49,26.53,-1681.51,0.2016
8,55.0,1.0,1.0,2.0,INFY,47,23.4,-1866.07,0.242
8,55.0,1.0,1.0,2.0,HDFCBANK,62,22.58,-2366.93,0.1694
8,55.0,1.0,1.0,2.0,ICICIBANK,48,16.67,-2159.48,0.1276
8,55.0,1.0,1.0,2.0,SBIN,75,26.67,-2876.24,0.2002
8,55.0,1.0,1.0,2.0,LT,61,32.79,-1623.95,0.3533
8,55.0,1.0,1.0,2.0,AXISBANK,56,37.5,-1341.56,0.4533
8,55.0,1.0,1.0,2.0,ITC,80,18.75,-3342.42,0.1446
8,55.0,1.0,1.0,2.0,BHARTIARTL,52,19.23,-2375.42,0.1372
8,55.0,1.0,1.0,2.5,RELIANCE,77,29.87,-1951.54,0.4127
