lookback,minimum_rsi,volume_ratio,stop_multiplier,target_multiplier,trades,win_rate,net_pnl,profit_factor,eligible_for_ranking
8,60.0,1.5,1.2,3.0,38,31.58,-406.01,0.7705,True
15,60.0,1.5,1.2,3.0,26,30.77,-443.85,0.6081,True
10,60.0,1.5,1.2,3.0,36,30.56,-480.92,0.7158,True
8,50.0,1.5,1.2,3.0,42,30.95,-518.7,0.7385,True
8,55.0,1.5,1.2,3.0,42,30.95,-518.7,0.7385,True
15,60.0,1.5,1.0,3.0,26,30.77,-537.7,0.4982,True
12,60.0,1.5,1.2,3.0,35,31.43,-587.14,0.6304,True
15,60.0,1.5,1.2,2.5,26,30.77,-598.75,0.4714,True
20,50.0,1.5,1.0,3.0,17,17.65,-611.42,0.2546,True
20,55.0,1.5,1.0,3.0,17,17.65,-611.42,0.2546,True
20,60.0,1.5,1.0,3.0,17,17.65,-611.42,0.2546,True
20,50.0,1.5,1.2,3.0,17,17.65,-631.28,0.2986,True
20,55.0,1.5,1.2,3.0,17,17.65,-631.28,0.2986,True
20,60.0,1.5,1.2,3.0,17,17.65,-631.28,0.2986,True
20,50.0,1.5,1.0,2.0,17,23.53,-645.21,0.1597,True
20,55.0,1.5,1.0,2.0,17,23.53,-645.21,0.1597,True
20,60.0,1.5,1.0,2.0,17,23.53,-645.21,0.1597,True
8,60.0,1.5,1.0,3.0,38,28.95,-654.19,0.6065,True
15,50.0,1.5,1.2,3.0,29,27.59,-658.26,0.5113,True
15,55.0,1.5,1.2,3.0,29,27.59,-658.26,0.5113,True
20,50.0,1.5,1.0,2.5,17,17.65,-661.33,0.1937,True
20,55.0,1.5,1.0,2.5,17,17.65,-661.33,0.1937,True
20,60.0,1.5,1.0,2.5,17,17.65,-661.33,0.1937,True
15,60.0,1.5,1.0,2.5,26,30.77,-666.78,0.3778,True
8,60.0,1.5,1.2,2.5,38,31.58,-687.93,0.6099,True
10,50.0,1.5,1.2,3.0,39,28.21,-690.05,0.6371,True
10,55.0,1.5,1.2,3.0,39,28.21,-690.05,0.6371,True
20,50.0,1.5,1.2,2.5,17,17.65,-691.17,0.232,True
20,55.0,1.5,1.2,2.5,17,17.65,-691.17,0.232,True
20,60.0,1.5,1.2,2.5,17,17.65,-691.17,0.232,True
10,60.0,1.5,1.0,3.0,36,27.78,-706.62,0.5566,True
15,60.0,1.5,1.0,2.0,26,34.62,-729.82,0.2839,True
15,50.0,1.5,1.0,3.0,29,27.59,-731.48,0.4219,True
15,55.0,1.5,1.0,3.0,29,27.59,-731.48,0.4219,True
10,60.0,1.5,1.2,2.5,36,30.56,-732.49,0.5658,True
20,50.0,1.5,1.2,2.0,17,17.65,-751.07,0.1655,True
20,55.0,1.5,1.2,2.0,17,17.65,-751.07,0.1655,True
20,60.0,1.5,1.2,2.0,17,17.65,-751.07,0.1655,True
15,60.0,1.5,1.2,2.0,26,30.77,-753.62,0.3347,True
8,50.0,1.5,1.0,3.0,42,28.57,-768.11,0.5862,True
8,55.0,1.5,1.0,3.0,42,28.57,-768.11,0.5862,True
12,50.0,1.5,1.2,3.0,38,28.95,-796.46,0.557,True
12,55.0,1.5,1.2,3.0,38,28.95,-796.46,0.557,True
12,60.0,1.5,1.2,2.5,35,31.43,-803.87,0.4923,True
12,60.0,1.0,1.2,3.0,61,34.43,-813.11,0.6855,True
15,50.0,1.5,1.2,2.5,29,27.59,-813.16,0.3964,True
15,55.0,1.5,1.2,2.5,29,27.59,-813.16,0.3964,True
8,50.0,1.5,1.2,2.5,42,30.95,-822.48,0.5842,True
8,55.0,1.5,1.2,2.5,42,30.95,-822.48,0.5842,True
12,60.0,1.5,1.0,3.0,35,28.57,-827.39,0.4626,True
20,50.0,1.0,1.0,2.0,30,33.33,-831.64,0.2907,True
20,55.0,1.0,1.0,2.0,30,33.33,-831.64,0.2907,True
20,60.0,1.0,1.0,2.0,30,33.33,-831.64,0.2907,True
20,50.0,1.0,1.2,3.0,30,23.33,-838.86,0.4334,True
20,55.0,1.0,1.2,3.0,30,23.33,-838.86,0.4334,True
20,60.0,1.0,1.2,3.0,30,23.33,-838.86,0.4334,True
20,50.0,1.0,1.0,3.0,30,23.33,-850.11,0.37,True
20,55.0,1.0,1.0,3.0,30,23.33,-850.11,0.37,True
20,60.0,1.0,1.0,3.0,30,23.33,-850.11,0.37,True
15,50.0,1.5,1.0,2.5,29,27.59,-860.56,0.3199,True
15,55.0,1.5,1.0,2.5,29,27.59,-860.56,0.3199,True
8,60.0,1.5,1.0,2.5,38,28.95,-872.75,0.4735,True
20,50.0,1.0,1.0,2.5,30,26.67,-881.26,0.3192,True
20,55.0,1.0,1.0,2.5,30,26.67,-881.26,0.3192,True
20,60.0,1.0,1.0,2.5,30,26.67,-881.26,0.3192,True
10,50.0,1.5,1.0,3.0,39,25.64,-895.8,0.4975,True
10,55.0,1.5,1.0,3.0,39,25.64,-895.8,0.4975,True
10,60.0,1.5,1.0,2.5,36,27.78,-899.88,0.4337,True
15,50.0,1.5,1.0,2.0,29,31.03,-923.6,0.2386,True
15,55.0,1.5,1.0,2.0,29,31.03,-923.6,0.2386,True
10,50.0,1.5,1.2,2.5,39,28.21,-941.81,0.5033,True
10,55.0,1.5,1.2,2.5,39,28.21,-941.81,0.5033,True
